track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5
CD,2017-05-06,12,10,GUNNEVERA,2,BON,,,73,86,93,,107,11,-1,102,GP,,,,,,,,,28,1870,,FntOYth-G2,b,03-04-17 Bumped into 1st turn; four wide move far turn; drew off; driving,0,104.25,5.75,,1,9.00,9.00,7,23.43,47.18,23.43,72.37,47.18,,72.37,97.85,1,6,CASTELLANO J J,1,1,10,4.20,2,,400000,FntOYth-G2,20170304,Xpressbet Fountain of Youth S.,13,G2,,,4.00,4.00,5,0.50,PRACTICAL JOKE,122,83,13.00,13.00,10,,0.50,,1,D,6.00,THREE RULES,120,GP,FT,24,SANO ANTONIO,4w move turn; driving,122,5.75,GUNNEVERA,122,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,3,BON,,,79,80,91,,101,-4,-7,97,GP,,,,,,,,,77,1870,,HolyBull-G2,b,02-04-17 Inside to far turn; steadied; altered course 5/16; best others,0,102.52,3.75,3.75,2,4.00,4.00,4,24.14,47.92,24.14,71.87,47.92,,71.87,96.37,1,4,CASTELLANO J J,1,2,7,3.30,1,,350000,HolyBull-G2,20170204,Lambholm South Holy Bull S.,12,G2,,,2.00,2.00,4,5.00,GUNNEVERA,122,88,4.00,4.00,5,,3.50,3.50,2,D,5.25,CLASSIC EMPIRE,122,GP,FT,14,SANO ANTONIO,Stdy rail 5/16; 4w,122,3.75,IRISH WAR CRY,120,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,4,AON,,,82,89,95,,94,10,3,96,DED,,,,,,,,,42,1870,,DedJkp-G3,b,11-19-16 Outrun early; advanced outside; circled rivals; clear; solid try,1,105.15,5.75,,1,5.25,5.25,10,23.18,47.05,23.18,72.52,47.05,,72.52,98.64,1,10,CASTELLANO J J,1,1,10,2.90,6,,1000000,DedJkp-G3,20161119,"$1,000,000 Delta Downs Jackpot S.",7,G3,,,2.00,2.00,9,4.00,HOT SEAN,117,92,6.00,6.00,10,,0.50,,1,D,0.50,DANGERFIELD,119,DED,FT,15,SANO ANTONIO,Solid try,122,5.75,GUNNEVERA,122,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,5,AON,,,76,83,92,,80,12,9,86,KEE,,,,,,,,,55,1870,,BrdrsFut-G1,b,10-08-16 Unhurried early; 6path far turn; leveled out stretch,0,103.41,7.00,7.00,5,9.00,9.00,8,23.38,46.63,23.38,71.17,46.63,,71.17,96.89,1,9,RIOS JESUS M,1,5,12,7.70,2,,500000,BrdrsFut-G1,20161008,Claiborne Breeders' Futurity,8,G1,,,5.50,5.50,8,1.00,LOOKIN AT LEE,121,88,8.50,8.50,10,,6.00,6.00,4,D,0.13,WILD SHOT,121,KEE,FT,9,SANO ANTONIO,6path 3/16;leveled out,121,3.00,CLASSIC EMPIRE,121,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,6,AON,,,83,90,,,94,7,2,91,SAR,,,,,,,,,29,1430,,SarSpcl-G2,b,08-14-16 No speed;2p3/8;angled 4w5/16;5w1/4;rallied outside;closd strongly,0,77.00,1.00,,1,9.25,9.25,5,21.69,45.04,21.69,70.28,45.04,,70.28,,1,5,CASTELLANO J J,1,1,5,9.20,4,,200000,SarSpcl-G2,20160814,Saratoga Special S.,9,G2,,,6.00,6.00,5,14.00,RECRUITING READY,118,88,,,5,,3.50,3.50,2,D,3.75,TIP TAP TAPIZAR,118,SAR,FT,17,SANO ANTONIO,2p3/8;4w5/16;5w1/4,118,1.00,GUNNEVERA,118,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,7,AON,,,79,78,,,92,-2,-10,77,GP,,,,,,,,,14,1210,,MdSpWt,b,07-16-16 Off pace; 6wd bid; rallied; up late,1,65.99,0.75,,1,4.75,4.75,8,23.28,47.04,23.28,59.59,47.04,59.59,,,1,4,RIOS JESUS M,1,1,9,1.10,2,,55000,MdSpWt,20160716,,8,S,,,3.75,3.75,7,1.25,LEGACY AZTECA,118,85,,,4,,4.00,4.00,3,D,2.75,KNOCKOUT RANGER,118,GP,FT,18,SANO ANTONIO,6w bid;rallied;up late,118,0.75,GUNNEVERA,118,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,8,AON,,,69,80,,,94,7,1,81,GP,,,,,,,,,22,1210,,BirdonwreB75k,b,07-02-16 Bumped start; in back; late kick,0,64.50,6.50,6.50,4,16.00,16.00,9,22.04,45.42,22.04,57.89,45.42,57.89,,,1,8,RIOS JESUS M,1,4,9,9.00,5,,75000,BirdonwreB75k,20160702,Birdonthewire S.,7,N,,,15.00,15.00,9,0.25,SONIDO,120,85,,,8,,10.00,10.00,8,D,1.25,FRANCESCO APPEAL,120,GP,FT,10,SANO ANTONIO,Bmpd;in back;late kick,118,5.00,THREE RULES,120,7,9.0,2017,0,0
CD,2017-05-06,12,10,GUNNEVERA,9,AON,,,79,,,,94,,,82,GP,,,,,,,,,,1100,,MdSpWt,b,06-10-16 Off pace; good kick; angld in 1/8p,0,58.54,3.50,3.50,2,9.00,9.00,7,22.67,46.08,22.67,,46.08,,,,1,6,RIOS JESUS M,1,2,7,5.50,7,,55000,MdSpWt,20160610,,7,S,,s,7.00,7.00,5,2.75,GUNNEVERA,118,87,,,6,,5.50,5.50,3,D,1.25,HIDDEN JOURNEY,118,GP,SY,15,SANO ANTONIO,Gook kick;angl in1/8p,118,3.50,THREE RULES,118,7,9.0,2017,0,0
CD,2017-05-06,12,11,BATTLE OF MIDWAY,1,BON,,,101,114,122,,71,22,23,98,SA,,,,,,,,,30,1980,,SADrby-G1,,04-08-17 Speed; angled in; dueled; inside; fought back rail lane,0,111.16,0.50,0.50,2,0.13,0.13,2,46.55,70.92,22.66,97.55,46.55,,70.92,97.55,0,2,NAKATANI C S,1,2,13,7.20,3,,1000000,SADrby-G1,20170408,Santa Anita Derby,8,G1,,,0.13,,1,0.50,BATTLE OF MIDWAY,124,80,0.13,,1,,0.50,,1,D,0.50,ROYAL MO,124,SA,FT,14,HOLLENDORFER JERRY,Fought back rail lane,124,0.50,GORMLEY,124,3,40.0,2017,1,1
CD,2017-05-06,12,11,BATTLE OF MIDWAY,2,BON,,,87,88,85,,97,3,-6,92,SA,,,,,,,,,25,1870,,OC75000NW1$X,,03-09-17 4 wide 1st turn; stalked;outside;4wd 3/8;bid 3wd;led;held gamely,0,104.16,0.25,,1,1.50,1.50,4,23.01,47.33,23.01,72.6,47.33,,72.60,97.72,0,5,PRAT FLAVIEN,1,1,8,1.90,6,,56000,OC75000n1x,20170309,,7,AO,,,0.50,0.50,2,5.25,REACH THE WORLD,122,82,2.75,2.75,5,,1.50,,1,D,0.75,VEXATIOUS,119,SA,FT,21,HOLLENDORFER JERRY,Bid 4wd;3wd;led;gamely,122,0.25,BATTLE OF MIDWAY,122,3,40.0,2017,1,1
