track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5
CD,2019-05-04,12,18,LONG RANGE TODDY,8,AON,Dead heat,,87,89,,,72,3,6,69,RP,,,,,,,,,,1210,,MdSpWt,,08-31-18 Chased; inside; saved ground; bid; no menace,0,64.53,2.00,2.00,4,3.25,3.25,5,21.72,44.91,21.72,57.69,44.91,57.69,,,0,5,VAZQUEZ R A,1,4,7,2.90,1,,33000,MdSpWt,20180831,,4,S,,,3.00,3.00,4,0.13,RAISON D'HEAT,119,90,,,5,,1.50,1.50,4,D,0.25,TRULY BLING,119,RP,FT,8,ASMUSSEN STEVEN M,Inside; no menace,119,1.50,ROSES N' RUBIES,120,16,54.8,2019,0,0
CD,2019-05-04,12,19,SPINOFF,1,BON,,,83,82,99,,100,-6,-1,102,FG,,,,,,,,,29,1980,,LaDerby-G2,,03-23-19 Bmpd after brk;4w1st;up close;chased 4w2nd;lead3/16;overtaken,0,109.53,0.75,0.75,2,2.50,2.50,3,47.68,71.54,23.63,96.84,47.68,,71.54,96.84,0,2,VELAZQUEZ J R,1,2,11,4.30,10,,1000000,LaDerby-G2,20190323,Twinspires.com Louisiana Derby,13,G2,,,1.00,1.00,3,5.00,SPINOFF,122,93,3.00,3.00,3,,1.00,,1,D,0.75,SUENO,122,FG,FT,12,PLETCHER TODD A,Bmpd brk;4w;led;caught,122,0.75,BY MY STANDARDS,122,18,52.3,2019,0,0
CD,2019-05-04,12,19,SPINOFF,2,BON,,,95,103,101,,83,15,8,93,TAM,,,,,,,,,194,1800,,OC75000NW1X,,02-22-19 Bumped after start; vied inside; re-bid 2w; took charge;drew away,1,100.25,11.75,,1,0.50,0.50,2,22.68,45.88,22.68,70.97,45.88,,70.97,97.91,0,1,VELAZQUEZ J R,1,1,5,0.60,2,,27500,OC75000n1x,20190222,,2,AO,,,1.00,,1,1.50,CAVE RUN,118,94,1.00,1.00,2,,3.00,,1,D,4.00,SUMMERDUCK,118,TAM,FT,16,PLETCHER TODD A,Bumped st; drew away,118,11.75,SPINOFF,118,18,52.3,2019,0,0
CD,2019-05-04,12,19,SPINOFF,3,AON,,,92,89,,,93,-2,-9,89,SAR,,,,,,,,,50,1430,,SarSpcl-G2,,08-12-18 Vied betw 3p to 5/8; to ins 1/2p; urged 5/16; 3w upper; ran on,0,76.55,2.75,2.75,3,0.50,0.50,3,22.48,45.98,22.48,70.22,45.98,,70.22,,0,4,VELAZQUEZ J R,1,3,4,7.00,3,,200000,SarSpcl-G2,20180812,Saratoga Special S. Presented by Miller Lite,8,G2,,,1.50,1.50,4,1.75,TIGHT TEN,118,90,,,4,,3.00,3.00,3,D,4.75,SPINOFF,118,SAR,FT,11,PLETCHER TODD A,Vied early betw;ran on,118,1.00,CALL PAUL,118,18,52.3,2019,0,0
CD,2019-05-04,12,19,SPINOFF,4,AON,,,83,,,,90,,,82,GP,,,,,,,,,,1100,,MdSpWt,,06-23-18 Roused 2wd; duel 1/4p-1/8p; drew clear; drvg; held firm,1,58.98,1.25,,1,1.50,1.50,2,23.57,47,23.57,,47.00,,,,0,5,JUAREZ NIK,1,1,9,3.10,4,,65000,MdSpWt,20180623,,8,S,,,0.13,0.13,2,2.00,RESERVENOTATTAINED,118,89,,,5,,0.13,,1,D,0.06,GARTER AND TIE,118,GP,GD,14,PLETCHER TODD A,Duel 1/4p-1/8p;sharp,118,1.25,SPINOFF,118,18,52.3,2019,0,0
CD,2019-05-04,12,2,TAX,1,BON,,,82,93,105,,93,13,12,101,AQU,,,,,,,,,63,1980,,WoodMem-G2,,04-06-19 Clean early;2w 1st;3w 2nd;ask into lane;induce to rail; stayed,0,111.23,1.25,1.25,2,7.00,7.00,3,46.91,71.46,23.62,97.81,46.91,,71.46,97.81,0,1,ALVARADO JUNIOR,1,2,11,5.50,1,,750000,WoodMem-G2,20190406,Wood Memorial S. Presented by NYRA Bets,10,G2,,,5.00,5.00,3,2.75,TAX,123,91,4.50,4.50,3,,0.13,0.13,2,D,0.50,HAIKAL,123,AQU,FT,11,GARGAN DANNY,3w 2nd;induce rail str,123,1.25,TACITUS,123,14,35.5,2019,0,0
CD,2019-05-04,12,2,TAX,2,BON,,,88,94,103,,96,5,5,102,AQU,,,,,,,,,63,1980,,Withers-G3,,02-02-19 Stumble st; tracked ins; 2w 1/4; steady 3/16; up 1/8p; gamely,1,110.23,0.13,,1,1.50,1.50,3,47.39,71.44,23.56,97.22,47.39,,71.44,97.22,0,1,ALVARADO JUNIOR,1,1,7,2.10,1,,250000,Withers-G3,20190202,Withers S.,9,G3,,,2.00,2.00,3,0.25,NOT THAT BRADY,120,97,1.00,1.00,2,,0.50,,1,D,4.75,OUR BRAINTRUST,122,AQU,FT,13,GARGAN DANNY,Stumbled st; gamely,120,0.13,TAX,120,14,35.5,2019,0,0
CD,2019-05-04,12,2,TAX,3,AON,,,82,78,88,,114,-15,-15,103,AQU,,,,,,,,,41,1980,,Remsen-G2,,12-01-18 3w 1st; pressed 2-3w; bid 1/4;staved off;tired final 1/8,0,111.34,2.75,2.75,3,0.50,0.50,2,50.67,74.6,25.12,98.48,50.67,,74.60,98.48,0,4,FRANCO MANUEL,1,3,7,17.30,7,,250000,Remsen-G2,20181201,Remsen S.,8,G2,,,1.00,1.00,2,0.50,NETWORK EFFECT,118,87,1.50,1.50,3,,2.50,2.50,2,D,6.25,TAX,118,AQU,FT,22,GARGAN DANNY,3w 1st;bid 2-3w 1/4pl,118,2.25,MAXIMUS MISCHIEF,118,14,35.5,2019,0,0
CD,2019-05-04,12,2,TAX,4,AON,Claimed from Claiborne Farm and Dilschneider Adele B  Colebrook Ben Trainer,,84,79,84,,84,0,4,84,KEE,10/21/2018,224,28,30,35,0.08,c,50000,22,1870,,Md50000c,,10-21-18 Tracked pace early; 3path far turn; drove past str; cleared late,1,105.25,2.00,,1,2.50,2.50,2,23.96,48.16,23.96,72.57,48.16,,72.57,98.39,0,3,HERNANDEZ B J JR,0,1,7,2.00,1,,23000,Md50000c,20181021,,1,M,,,2.00,2.00,2,2.50,CLIPBOARD MONEY,118,80,1.50,1.50,2,,0.50,,1,D,1.25,GALINDO,118,KEE,FT,16,COLEBROOK BEN,Drove past; cleared,118,2.00,TAX,118,14,35.5,2019,0,0
CD,2019-05-04,12,2,TAX,5,AON,,,89,82,,,93,-4,-12,83,CD,,,,,,,,30000,,1430,,Md30000,,09-29-18 Came in start; dueled early; inside turn; long drv ins;not enough,0,78.25,0.50,0.50,2,0.13,,1,23.36,47.68,23.36,71.92,47.68,,71.92,,0,6,HERNANDEZ B J JR,0,2,9,10.60,3,,25000,Md30000,20180929,,2,M,,,0.13,0.13,2,0.25,TAX,120,83,,,6,,0.13,0.13,2,D,4.75,SHE LOVE ME,120,CD,FT,17,COLEBROOK BEN,Came in st; long drive,120,0.50,DEANO,120,14,35.5,2019,0,0
CD,2019-05-04,12,20,COUNTRY HOUSE,1,BON,,,73,76,78,,103,-2,-9,92,OP,,,,,,,,,21,1980,,ArkDerby-G1,b,04-13-19 Unrushed;bid5w1/4;couldn't close,0,109.91,6.75,6.75,3,6.75,6.75,10,47.5,72.46,23.08,97.53,47.50,,72.46,97.53,0,9,ROSARIO JOEL,1,3,11,8.00,8,,1000000,ArkDerby-G1,20190413,Arkansas Derby,11,G1,,s,6.00,6.00,8,5.75,IMPROBABLE,122,85,8.25,8.25,9,,5.00,5.00,3,D,1.00,COUNTRY HOUSE,118,OP,SY,19,MOTT WILLIAM I,Bid5w1/4;no late bid,118,1.00,OMAHA BEACH,122,1,65.2,2019,1,1
CD,2019-05-04,12,20,COUNTRY HOUSE,2,BON,,,73,73,94,,93,-6,-1,95,FG,,,,,,,,,35,1980,,LaDerby-G2,b,03-23-19 Off step slw;4w1st;urged4-1/2;advanced 6w2nd turn;chased;tired,0,109.53,6.50,6.50,4,7.00,7.00,9,47.68,71.54,23.63,96.84,47.68,,71.54,96.84,0,10,SAEZ LUIS,1,4,11,6.40,8,,1000000,LaDerby-G2,20190323,Twinspires.com Louisiana Derby,13,G2,,,3.25,3.25,7,5.00,SPINOFF,122,87,8.00,8.00,9,,1.50,1.50,4,D,0.75,SUENO,122,FG,FT,12,MOTT WILLIAM I,Bit slw st;4w1st;6w2nd,122,0.75,BY MY STANDARDS,122,1,65.2,2019,1,1
CD,2019-05-04,12,20,COUNTRY HOUSE,3,BON,,,74,82,98,,87,11,10,93,FG,,,,,,,,,30,1870,,RisenStr-G2,b,02-16-19 Off slow;ins-2p1st;settled;3-4w2nd;5w1/4;lug in 3/16;willingly,0,104.59,2.25,2.25,2,9.75,9.75,11,23.71,47.36,23.71,72.2,47.36,,72.20,97.87,0,12,SAEZ LUIS,1,2,14,6.90,9,,400000,RisenStr-G2,20190216,Risen Star S. presented by Lamarque Ford,12,G2,,,4.25,4.25,9,1.50,COUNTRY HOUSE,122,87,9.50,9.50,12,,2.50,2.50,2,D,2.25,ROILAND,122,FG,FT,13,MOTT WILLIAM I,Off slow;5w1/4;lug in,122,2.25,WAR OF WILL,122,1,65.2,2019,1,1
CD,2019-05-04,12,20,COUNTRY HOUSE,4,BON,,,71,61,57,,123,-16,-25,91,GP,,,,,,,,,47,1870,,MdSpWt,b,01-17-19 Veered in; slow start; unhurried; 4wd 2nd tn; ridden out; sharp,1,104.99,3.50,,1,5.50,5.50,6,24.22,49.07,24.22,74.44,49.07,,74.44,98.81,0,6,SAEZ LUIS,1,1,6,0.60,1,,50000,MdSpWt,20190117,,3,S,,,4.50,4.50,6,2.00,OWNITIFYOUWANTIT,120,82,6.00,6.00,6,,1.00,,1,D,3.50,THETRASHMANSCOMING,120,GP,FT,20,MOTT WILLIAM I,Slow early;impressive,120,3.50,COUNTRY HOUSE,120,1,65.2,2019,1,1
CD,2019-05-04,12,20,COUNTRY HOUSE,5,AON,,,74,73,86,,93,-8,-1,89,AQU,,,,,,,,,56,1760,,MdSpWt,b,12-01-18 In range 2-3w;ridden 4w into upper; willingness;staved off,0,100.17,0.50,0.50,2,2.50,2.50,5,24.68,49.14,24.68,74.01,49.14,,74.01,,0,6,ALVARADO JUNIOR,1,2,9,49.25,3,,70000,MdSpWt,20181201,,2,S,,,1.50,1.50,3,5.00,COUNTRY HOUSE,119,67,3.25,3.25,8,,1.00,1.00,2,D,0.25,FELIX THE FOX,119,AQU,FT,22,MOTT WILLIAM I,2-3w turn;4w upper,119,0.50,KENTUCKY WILDCAT,119,1,65.2,2019,1,1
CD,2019-05-04,12,20,COUNTRY HOUSE,6,AON,,,68,88,90,,73,13,9,81,BEL,,,,,,,,,,1870,,MdSpWt,b,10-06-18 Took hold break; quick to inside; never invovled,0,105.27,13.00,13.00,9,7.50,7.50,9,24.01,48.34,24.01,73.46,48.34,,73.46,98.68,0,11,MARAGH RAJIV,1,9,11,18.30,9,,75000,MdSpWt,20181006,,2,S,,,7.50,7.50,10,6.25,MALTHAEL,119,54,14.00,14.00,9,,9.50,9.50,9,T,0.25,IAN GLASS,119,BEL,TF,33,MOTT WILLIAM I,Inside; never involved,119,1.25,EMPIRE OF WAR,119,1,65.2,2019,1,1
CD,2019-05-04,12,21,BODEXPRESS,1,BON,,,78,70,75,,118,-22,-25,98,GP,,,,,,,,,42,1980,,FlaDerby-G1,,03-30-19 Unseated rider behind gate; pressed outside winner; best others,0,108.86,3.50,3.50,2,0.50,0.50,2,48.98,72.9,24.42,96.34,48.98,,72.90,96.34,0,4,JUAREZ NIK,1,2,11,71.50,8,,1000000,FlaDerby-G1,20190330,Xpressbet Florida Derby,14,G1,,,1.00,1.00,2,3.25,BODEXPRESS,122,86,1.00,1.00,2,,3.00,3.00,2,D,0.75,CODE OF HONOR,122,GP,FT,12,DELGADO GUSTAVO,Press winner;best rest,122,3.50,MAXIMUM SECURITY,122,13,71.0,2019,0,0
CD,2019-05-04,12,21,BODEXPRESS,2,BON,,,88,95,,,97,-1,3,97,GP,,,,,,,,,21,1540,,MdSpWt,,02-16-19 Bumped start; swung four wide late turn; late bid; not enough,0,82.15,0.25,0.25,2,3.50,3.50,4,22.27,44.29,22.27,68.82,44.29,,68.82,,0,2,JUAREZ NIK,1,2,7,7.60,3,,50000,MdSpWt,20190216,,3,S,,,5.50,5.50,4,5.50,BODEXPRESS,120,90,,,2,,3.00,3.00,2,D,2.25,FORT WORTH,120,GP,FT,14,DELGADO GUSTAVO,Bumped st;4w bid;edged,120,0.25,SHANCELOT,120,13,71.0,2019,0,0
CD,2019-05-04,12,21,BODEXPRESS,3,BON,,,92,95,90,,75,7,1,80,GP,,,,,,,,,34,1760,,MdSpWt,,01-26-19 Chased two to three wide; no threat,0,94.82,18.00,18.00,4,2.50,2.50,3,22.53,44.75,22.53,69.43,44.75,,69.43,,0,12,SAEZ LUIS,1,4,13,5.30,3,,60000,MdSpWt,20190126,,4,S,,s,6.50,6.50,2,3.75,HIGH AMPLITUDE,120,75,1.50,1.50,3,,12.00,12.00,3,D,0.25,RANGER UP,120,GP,SY,9,DELGADO GUSTAVO,Chased 2-3wd; weakened,120,14.00,HIDDEN SCROLL,120,13,71.0,2019,0,0
CD,2019-05-04,12,21,BODEXPRESS,4,AON,,,94,99,,,85,-1,-2,90,GP,,,,,,,,,29,1320,,MdSpWt,,12-23-18 Pressured pace; vied inside; no match 1/8p; clearly 2nd best,0,70.60,2.00,2.00,2,1.00,,1,22.48,45.39,22.48,57.55,45.39,57.55,,,0,1,SAEZ LUIS,1,2,6,18.00,2,,60000,MdSpWt,20181223,,7,S,,,0.13,,1,8.50,BODEXPRESS,120,87,,,1,,0.50,0.50,2,D,0.06,OWNITIFYOUWANTIT,120,GP,FT,22,DELGADO GUSTAVO,Vied insd tn;clear 2nd,120,2.00,OVERDELIVER,120,13,71.0,2019,0,0
CD,2019-05-04,12,21,BODEXPRESS,5,AON,,,80,84,,,68,2,-3,63,GPW,,,,,,,,,,1320,,MdSpWt,b,11-24-18 Bumped and forced in start; checked after start; six-path to lane,0,71.72,16.25,16.25,9,8.25,8.25,10,22.33,46.14,22.33,58.79,46.14,58.79,,,0,7,LOPEZ PASCACIO,1,9,11,5.90,10,,60000,MdSpWt,20181124,,6,S,,,5.75,5.75,8,4.00,GEOSCIENCE,120,69,,,7,,12.00,12.00,9,D,5.75,ROBINTAKINCHARGE,120,GPW,FT,21,DELGADO GUSTAVO,Bump&checked st;6wd,120,2.00,W W SPRINGTIME,120,13,71.0,2019,0,0
CD,2019-05-04,12,3,BY MY STANDARDS,1,BON,,,82,80,99,,102,-6,-1,102,FG,,,,,,,,,35,1980,,LaDerby-G2,,03-23-19 2p1st;well placed;2p2nd;ask3p1/4;drop in3/16;rallied;bid1/16;best,0,109.53,0.75,,1,3.50,3.50,4,47.68,71.54,23.63,96.84,47.68,,71.54,96.84,0,4,SAEZ GABRIEL,1,1,11,22.50,5,,1000000,LaDerby-G2,20190323,Twinspires.com Louisiana Derby,13,G2,,,1.00,1.00,4,5.00,SPINOFF,122,94,3.50,3.50,4,,1.00,1.00,3,D,0.75,SUENO,122,FG,FT,12,CALHOUN WILLIAM BRET,2-3w;ask1/4;rallied,122,0.75,BY MY STANDARDS,122,11,18.8,2019,0,0
CD,2019-05-04,12,3,BY MY STANDARDS,2,BON,,,85,89,89,,90,7,3,90,FG,,,,,,,,,28,1870,,MdSpWt,,02-16-19 Bmpd early;3w1st;settled outside;3-4w2nd;ask5/16;lead3/16;clear,0,105.04,4.25,,1,2.00,2.00,4,23.8,47.89,23.80,73.11,47.89,,73.11,98.39,0,4,SAEZ GABRIEL,1,1,12,3.90,12,,43000,MdSpWt,20190216,,7,S,,,2.00,2.00,4,0.50,AWESOME WOK N ROLL,120,86,3.00,3.00,4,,0.50,,1,D,0.75,TAPIT WISE,120,FG,FT,13,CALHOUN WILLIAM BRET,Bmpd early;3-4w turns,120,4.25,BY MY STANDARDS,120,11,18.8,2019,0,0
CD,2019-05-04,12,3,BY MY STANDARDS,3,BON,,,88,79,69,,94,-4,-16,80,FG,,,,,,,,,28,1830,,MdSpWt,,01-19-19 Bmpd brk;2-3p1st;well placed;advanced 4-5p2nd;lead3p1/4;wknd,0,104.87,4.00,4.00,3,1.50,1.50,6,23.82,49,23.82,75.72,49.00,,75.72,101.01,0,1,SAEZ GABRIEL,1,3,10,2.40,7,,41000,MdSpWt,20190119,,7,S,,,0.50,,1,1.50,COMEDIAN,120,79,2.25,2.25,4,,0.13,,1,D,3.50,BY MY STANDARDS,120,FG,GD,17,CALHOUN WILLIAM BRET,2-3p1st;4-5p2nd;led1/4,120,2.50,FRANK'SGUNISLOADED,120,11,18.8,2019,0,0
CD,2019-05-04,12,3,BY MY STANDARDS,4,AON,,,70,68,78,,88,-1,-2,83,FG,,,,,,,,,28,1870,,MdSpWt,,12-22-18 Bmpd7/8;2p1st;settled;urged 3p2nd;no match;up for place,0,106.13,4.25,4.25,2,8.25,8.25,9,24.4,48.54,24.40,73.92,48.54,,73.92,99.67,0,8,SAEZ GABRIEL,1,2,11,7.10,5,,41000,MdSpWt,20181222,,4,S,,,4.00,4.00,6,1.75,BY MY STANDARDS,120,80,6.75,6.75,8,,3.50,3.50,3,D,2.50,COURTYARD,115,FG,FT,16,CALHOUN WILLIAM BRET,Bmpd7/8;2-3p turns,120,4.25,GUN IT,120,11,18.8,2019,0,0
CD,2019-05-04,12,3,BY MY STANDARDS,5,AON,,,84,92,,,85,0,-1,86,CD,,,,,,,,,,1430,,MdSpWt,,11-24-18 Back early on; 5path turn; bid stretch; flattened out late,0,77.58,4.00,4.00,2,5.50,5.50,9,22.78,46.09,22.78,70.93,46.09,,70.93,,0,11,SAEZ GABRIEL,1,2,11,10.00,11,,76000,MdSpWt,20181124,,4,S,,s,3.25,3.25,6,3.00,BY MY STANDARDS,118,84,,,11,,3.00,3.00,3,D,0.25,MALPAIS,118,CD,SY,14,CALHOUN WILLIAM BRET,Bid str; flattened out,118,4.00,JERSEY AGENDA,118,11,18.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,1,BON,03-30-19 Mid-div; smth prog 500m out; r.o. wl 300m out; nrst fin,,,,,,,,,,MEY,,,,,,,,,42,2078,,U Drby Spnsr-G,,03-30-19 Mid-div; smth prog 500m out; r.o. wl 300m out; nrst fin,0,118.41,0.75,0.75,2,,,,,,,,,,,,0,,*ROSARIO J,0,2,14,0.00,0,,2500000,U Drby Spns-G2,20190330,UAE Derby Sponsored By Saeed & Mohammed Al Naboodah Group,4,G2,,,,,,0.25,GRAY MAGICIAN,126,0,,,,,,,,D,5.25,MANGUZI,126,MEY,FT,0,*MILLER P,,126,0.75,PLUS QUE PARFAIT,126,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,2,BON,,,85,85,97,,89,-2,1,93,LRL,,,,,,,,,16,1760,,MirclWoodB100k,b,02-16-19 3 wide turn; chased pace; willing effort,0,95.27,4.25,4.25,2,2.00,2.00,2,24.23,47.51,24.23,71.29,47.51,,71.29,,0,2,PRAT FLAVIEN,1,2,6,2.10,6,,100000,MirclWoodB100k,20190216,Miracle Wood S.,5,N,,,1.00,1.00,3,0.06,GRAY MAGICIAN,118,94,2.00,2.00,2,,4.00,4.00,3,D,0.50,TYBALT,118,LRL,FT,5,MILLER PETER,3wd turn;chased foe,118,4.25,ALWAYSMINING,122,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,3,BON,,,87,99,104,,67,10,12,84,SA,,,,,,,,,26,1760,,OC80000NW1$X,b,01-31-19 Speed; dueled; inside; fought back into 2nd turn;weakened,0,94.74,8.00,8.00,5,0.13,,1,22.86,45.14,22.86,68.97,45.14,,68.97,,0,2,ROSARIO JOEL,1,5,7,3.40,3,,57000,OC80000n1x,20190131,,7,AO,,s,1.00,1.00,2,1.50,KINGLY,122,89,0.50,,1,,3.50,3.50,4,D,2.75,BIG SCOTT DADDY,122,SA,SY,6,MILLER PETER,Inside duel;weakened,122,3.25,EXTRA HOPE,122,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,4,BON,,,84,90,99,,73,9,14,85,SA,,,,,,,,,42,1760,,Sham-G3,,01-05-19 Stalked pace; inside; btwn foes into lane;drifted in;outkicked,0,98.96,3.00,3.00,4,2.50,2.50,4,23.46,46.95,23.46,71.64,46.95,,71.64,,0,2,PRAT FLAVIEN,1,4,7,5.70,2,,100000,Sham-G3,20190105,Sham S.,9,G3,,,1.50,1.50,3,0.75,SUENO,120,73,2.50,2.50,3,,3.50,3.50,3,D,1.25,MUCH BETTER,120,SA,FT,31,MILLER PETER,Btwn into str;outkickd,120,1.00,GUNMETAL GRAY,120,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,5,AON,,,83,84,87,,94,7,1,90,DMR,,,,,,,,,56,1760,,MdSpWt,,11-24-18 Stalked pace; 2 wide; off rail;led 3wd into lane; drew off;,1,98.55,9.50,,1,5.00,5.00,3,22.72,46.76,22.72,72.5,46.76,,72.50,,0,1,PRAT FLAVIEN,1,1,6,0.50,4,,53000,MdSpWt,20181124,,2,S,,,2.00,2.00,3,1.25,ALLEVA,122,81,4.00,4.00,3,,3.00,,1,D,0.25,ASANO,122,DMR,FT,16,MILLER PETER,3wd into str;cleared,122,9.50,GRAY MAGICIAN,122,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,6,AON,,,91,93,,,84,2,1,84,SA,09/29/2018,142,18,22,16,-0.39,,,28,1320,,MdSpWt,,09-29-18 Chased; inside; split horses turn;3wd into str;best rest,0,70.44,4.75,4.75,3,3.00,3.00,5,21.7,45.01,21.70,57.6,45.01,57.60,,,0,2,PEREIRA TIAGO,1,3,6,3.30,1,,50000,MdSpWt,20180929,,1,S,,,4.00,4.00,4,4.50,STRETFORD END,122,81,,,2,,2.00,2.00,4,D,4.25,GRAY MAGICIAN,122,SA,FT,18,PALMA HECTOR O,3wd into str;best rest,122,0.25,IMPROBABLE,122,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,7,AON,,,93,102,,,84,-2,0,92,DMR,,,,,,,,,20,1430,,MdSpWt,,09-01-18 Speed; dueled; inside; short lead turn;fought back str;2nd best,0,77.58,2.50,2.50,2,0.50,0.50,3,22.47,45.53,22.47,70.91,45.53,,70.91,,0,1,PEREIRA TIAGO,1,2,9,4.40,3,,60000,MdSpWt,20180901,,9,S,,,0.13,,1,6.75,GRAY MAGICIAN,120,82,,,1,,0.50,0.50,2,D,6.25,EXTRA HOPE,115,DMR,FT,19,PALMA HECTOR O,Inside duel;2nd best,120,2.50,MAGIC ON TAP,120,19,33.8,2019,0,0
CD,2019-05-04,12,4,GRAY MAGICIAN,8,AON,,,90,,,,83,,,82,DMR,,,,,,,,,,1100,,MdSpWt,,08-12-18 Stalked pace; 3 wide; off rail;3wd into str;bumped;steadied 1/8,0,59.49,1.75,1.75,3,3.75,3.75,7,22.27,46.48,22.27,,46.48,,,,0,3,PEREIRA TIAGO,1,3,10,13.80,6,,60000,MdSpWt,20180812,,7,S,,,4.25,4.25,6,0.50,MY MANDATE,120,82,,,3,,4.75,4.75,6,D,1.25,GRAY MAGICIAN,120,DMR,FT,19,PALMA HECTOR O,3wd;bump;steadied 1/8,120,1.25,SPIN LIGHTNING,120,19,33.8,2019,0,0
CD,2019-05-04,12,5,IMPROBABLE,1,BON,,,81,85,88,,104,-2,-9,98,OP,,,,,,,,,28,1980,,ArkDerby-G1,b,04-13-19 Restless gate;angled5w1/2;bid outside winner;couldn't catch,0,109.91,1.00,1.00,2,2.00,2.00,6,47.5,72.46,23.08,97.53,47.50,,72.46,97.53,0,7,ORTIZ JOSE L,1,2,11,1.90,1,,1000000,ArkDerby-G1,20190413,Arkansas Derby,11,G1,,s,1.00,1.00,2,5.75,IMPROBABLE,122,91,4.25,4.25,6,,1.00,1.00,2,D,1.00,COUNTRY HOUSE,118,OP,SY,19,BAFFERT BOB,Restless gt;5w1/2,122,1.00,OMAHA BEACH,122,4,4.0,2019,0,1
CD,2019-05-04,12,5,IMPROBABLE,2,BON,,,78,81,90,,101,-6,-6,97,OP,,,,,,,,,98,1870,,Rebel-G2,,03-16-19 Stalked 5path;bid3/8;clear;caught,1,102.49,0.25,0.25,2,1.75,1.75,4,23.77,47.58,23.77,71.97,47.58,,71.97,96.43,0,5,VAN DYKE DRAYDEN,1,2,7,0.40,7,,750000,Rebel-G2,20190316,Rebel S.,8,G2,,,0.25,0.25,4,2.25,IMPROBABLE,119,92,3.00,3.00,5,,1.00,,1,D,1.00,GALILEAN,122,OP,FT,9,BAFFERT BOB,5p;bid3/8;clear;caught,119,0.25,LONG RANGE TODDY,119,4,4.0,2019,0,1
CD,2019-05-04,12,5,IMPROBABLE,3,AON,,,88,88,92,,105,-1,-6,100,LRC,,,,,,,,,36,1870,,LosAlFt-G1,,12-08-18 Pulled; inside;stalked;off rail;3wd into str;led 2wd;cleared,1,101.18,5.00,,1,1.50,1.50,3,23.25,47.25,23.25,70.82,47.25,,70.82,94.79,0,1,VAN DYKE DRAYDEN,1,1,6,0.20,1,,300000,LosAlFt-G1,20181208,Los Alamitos Cash Call Futurity,5,G1,,,1.00,1.00,3,3.00,MUCHO GUSTO,120,95,2.00,2.00,3,,1.00,,1,D,3.00,EXTRA HOPE,120,LRC,FT,14,BAFFERT BOB,Pulled;3wd into str,120,5.00,IMPROBABLE,120,4,4.0,2019,0,1
CD,2019-05-04,12,5,IMPROBABLE,4,AON,,,96,105,109,,86,16,11,99,CD,,,,,,,,,34,1760,,StretSnsB100k,,11-02-18 Chased pace early; bid 3wide 1/4; took over str; drew off late,1,95.61,7.25,,1,1.00,1.00,3,22.27,44.96,22.27,69.83,44.96,,69.83,,0,6,VAN DYKE DRAYDEN,1,1,9,0.90,2,,100000,StretSnsB100k,20181102,Street Sense S.,4,N,,,0.50,0.50,2,1.25,TROPHY CHASER,122,92,1.25,1.25,6,,1.00,,1,D,0.13,DISTANT SHORE,122,CD,FT,13,BAFFERT BOB,Bid 3wd 1/4; drew off,122,7.25,IMPROBABLE,122,4,4.0,2019,0,1
